date,year,month,county,population,deaths,death_rate,display_name,mortality_factor
1989-01-15,89,1,Kings,2736074,1510.5515334560491,55.20872364768092,Brooklyn,1.2611200000000002
1989-01-15,89,1,Queens,2405464,997.135715142409,41.45294692177514,Queens,0.9469000000000001
1989-01-15,89,1,New York,1694251,637.5367755841203,37.62941710432045,Manhattan,0.8595600000000001
1989-01-15,89,1,Bronx,1472654,995.6617150668327,67.61002347237252,Bronx,1.5444000000000002
1989-01-15,89,1,Richmond,495747,282.5242012277724,56.98959372982033,Staten Island,1.3018
1989-02-15,89,2,Rest of State,11397059,4720.460237532838,41.4182311202639,,
1989-02-15,89,2,Kings,2736074,1373.6925710141777,50.206703876217446,Brooklyn,1.2376
1989-02-15,89,2,Queens,2405464,908.2665419816428,37.758475786028924,Queens,0.9307500000000002
1989-02-15,89,2,New York,1694251,581.6791556732082,34.33252544476635,Manhattan,0.8463
1989-02-15,89,2,Bronx,1472654,903.3039768477073,61.338506998093735,Bronx,1.5120000000000002
1989-02-15,89,2,Richmond,495747,256.7215484652297,51.78479112636683,Staten Island,1.2765
